amplitude,noise,band_pass,window_size,time_interval,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,type_I_ER,type_II_ER
"(80, 20)",high,False,0.004,False,31,False,vs,mc_w,0.0057735026918962,1512,35,False,29,6,1392,85,0.004291845493562232,0.7456140350877193
"(80, 20)",high,False,0.012,True,86,True,baseline,mc_w,0.0144337567297406,252,0,False,0,0,108,144,0.0,1.0
"(80, 20)",high,False,0.012,True,86,True,vs,mc_w,0.0144337567297406,252,36,True,36,0,108,108,0.0,0.75
"(80, 20)",high,False,0.012,True,86,False,baseline,mc_w,0.0081110710565381,798,0,False,0,0,654,144,0.0,1.0
"(80, 20)",high,False,0.012,True,86,False,vs,mc_w,0.0081110710565381,798,30,False,30,0,654,114,0.0,0.7916666666666666
"(80, 20)",high,False,0.012,True,64,True,baseline,mc_w,0.0188982236504613,147,0,False,0,0,63,84,0.0,1.0
"(80, 20)",high,False,0.012,True,64,True,vs,mc_w,0.0188982236504613,147,25,True,25,0,63,59,0.0,0.7023809523809523
"(80, 20)",high,False,0.012,True,64,False,baseline,mc_w,0.0096225044864937,567,0,False,0,0,483,84,0.0,1.0
"(80, 20)",high,False,0.012,True,64,False,vs,mc_w,0.0096225044864937,567,22,False,22,0,483,62,0.0,0.7380952380952381
"(80, 20)",high,False,0.012,True,31,True,baseline,mc_w,0.0288675134594812,63,0,False,0,0,27,36,0.0,1.0
"(80, 20)",high,False,0.012,True,31,True,vs,mc_w,0.0288675134594812,63,14,True,13,1,26,23,0.037037037037037035,0.6388888888888888
"(80, 20)",high,False,0.012,True,31,False,baseline,mc_w,0.0144337567297406,252,0,False,0,0,216,36,0.0,1.0
"(80, 20)",high,False,0.012,True,31,False,vs,mc_w,0.0144337567297406,252,15,True,13,2,214,23,0.009259259259259259,0.6388888888888888
"(80, 20)",high,False,0.012,False,86,True,baseline,mc_w,0.0100809729818188,504,0,False,0,0,360,144,0.0,1.0
"(80, 20)",high,False,0.012,False,86,True,vs,mc_w,0.0100809729818188,504,32,True,32,0,360,112,0.0,0.7777777777777778
"(80, 20)",high,False,0.012,False,86,False,baseline,mc_w,0.0056650177570259,1596,0,False,0,0,1452,144,0.0,1.0
"(80, 20)",high,False,0.012,False,86,False,vs,mc_w,0.0056650177570259,1596,25,False,25,0,1452,119,0.0,0.8263888888888888
"(80, 20)",high,False,0.012,False,64,True,baseline,mc_w,0.0131990919337113,294,0,False,0,0,210,84,0.0,1.0
"(80, 20)",high,False,0.012,False,64,True,vs,mc_w,0.0131990919337113,294,25,True,25,0,210,59,0.0,0.7023809523809523
"(80, 20)",high,False,0.012,False,64,False,baseline,mc_w,0.0067206486545459,1134,0,False,0,0,1050,84,0.0,1.0
"(80, 20)",high,False,0.012,False,64,False,vs,mc_w,0.0067206486545459,1134,17,False,17,0,1050,67,0.0,0.7976190476190477
"(80, 20)",high,False,0.012,False,31,True,baseline,mc_w,0.0201619459636377,126,0,False,0,0,90,36,0.0,1.0
"(80, 20)",high,False,0.012,False,31,True,vs,mc_w,0.0201619459636377,126,13,True,13,0,90,23,0.0,0.6388888888888888
"(80, 20)",high,False,0.012,False,31,False,baseline,mc_w,0.0100809729818188,504,0,False,0,0,468,36,0.0,1.0
"(80, 20)",high,False,0.012,False,31,False,vs,mc_w,0.0100809729818188,504,12,False,12,0,468,24,0.0,0.6666666666666666
"(80, 20)",high,False,0.02,True,86,True,baseline,mc_w,0.0186338998124982,156,0,False,0,0,60,96,0.0,1.0
"(80, 20)",high,False,0.02,True,86,True,vs,mc_w,0.0186338998124982,156,23,True,23,0,60,73,0.0,0.7604166666666666
"(80, 20)",high,False,0.02,True,86,False,baseline,mc_w,0.0104713477072923,494,2,False,0,2,396,96,0.005025125628140704,1.0
"(80, 20)",high,False,0.02,True,86,False,vs,mc_w,0.0104713477072923,494,21,False,21,0,398,75,0.0,0.78125
"(80, 20)",high,False,0.02,True,64,True,baseline,mc_w,0.0243975018237133,91,0,False,0,0,35,56,0.0,1.0
"(80, 20)",high,False,0.02,True,64,True,vs,mc_w,0.0243975018237133,91,15,True,15,0,35,41,0.0,0.7321428571428571
"(80, 20)",high,False,0.02,True,64,False,baseline,mc_w,0.0124225998749988,351,2,False,0,2,293,56,0.006779661016949152,1.0
"(80, 20)",high,False,0.02,True,64,False,vs,mc_w,0.0124225998749988,351,15,False,15,0,295,41,0.0,0.7321428571428571
"(80, 20)",high,False,0.02,True,31,True,baseline,mc_w,0.0372677996249964,39,0,False,0,0,15,24,0.0,1.0
"(80, 20)",high,False,0.02,True,31,True,vs,mc_w,0.0372677996249964,39,9,True,9,0,15,15,0.0,0.625
"(80, 20)",high,False,0.02,True,31,False,baseline,mc_w,0.0186338998124982,156,0,False,0,0,132,24,0.0,1.0
"(80, 20)",high,False,0.02,True,31,False,vs,mc_w,0.0186338998124982,156,8,True,8,0,132,16,0.0,0.6666666666666666
"(80, 20)",high,False,0.02,False,86,True,baseline,mc_w,0.012909944487358,312,0,False,0,0,216,96,0.0,1.0
"(80, 20)",high,False,0.02,False,86,True,vs,mc_w,0.012909944487358,312,21,True,21,0,216,75,0.0,0.78125
"(80, 20)",high,False,0.02,False,86,False,baseline,mc_w,0.0072547625011001,988,0,False,0,0,892,96,0.0,1.0
"(80, 20)",high,False,0.02,False,86,False,vs,mc_w,0.0072547625011001,988,20,False,20,0,892,76,0.0,0.7916666666666666
"(80, 20)",high,False,0.02,False,64,True,baseline,mc_w,0.0169030850945703,182,0,False,0,0,126,56,0.0,1.0
"(80, 20)",high,False,0.02,False,64,True,vs,mc_w,0.0169030850945703,182,15,True,15,0,126,41,0.0,0.7321428571428571
"(80, 20)",high,False,0.02,False,64,False,baseline,mc_w,0.0086066296582387,702,2,False,0,2,644,56,0.0030959752321981426,1.0
"(80, 20)",high,False,0.02,False,64,False,vs,mc_w,0.0086066296582387,702,15,False,15,0,646,41,0.0,0.7321428571428571
"(80, 20)",high,False,0.02,False,31,True,baseline,mc_w,0.0258198889747161,78,0,False,0,0,54,24,0.0,1.0
"(80, 20)",high,False,0.02,False,31,True,vs,mc_w,0.0258198889747161,78,8,True,8,0,54,16,0.0,0.6666666666666666
"(80, 20)",high,False,0.02,False,31,False,baseline,mc_w,0.012909944487358,312,0,False,0,0,288,24,0.0,1.0
"(80, 20)",high,False,0.02,False,31,False,vs,mc_w,0.012909944487358,312,8,False,8,0,288,16,0.0,0.6666666666666666
"(80, 20)",low,True,0.004,True,86,True,baseline,mc_w,0.0081978229472994,756,0,False,0,0,300,456,0.0,1.0
"(80, 20)",low,True,0.004,True,86,True,vs,mc_w,0.0081978229472994,756,133,True,126,7,293,330,0.023333333333333334,0.7236842105263158
"(80, 20)",low,True,0.004,True,86,False,baseline,mc_w,0.0046067787949796,2394,21,False,0,21,1917,456,0.010835913312693499,1.0
"(80, 20)",low,True,0.004,True,86,False,vs,mc_w,0.0046067787949796,2394,146,True,107,39,1899,349,0.020123839009287926,0.7653508771929824
"(80, 20)",low,True,0.004,True,64,True,baseline,mc_w,0.0107334697685272,441,0,False,0,0,175,266,0.0,1.0
"(80, 20)",low,True,0.004,True,64,True,vs,mc_w,0.0107334697685272,441,105,True,98,7,168,168,0.04,0.631578947368421
"(80, 20)",low,True,0.004,True,64,False,baseline,mc_w,0.0054652152981996,1701,8,False,0,8,1427,266,0.005574912891986063,1.0
"(80, 20)",low,True,0.004,True,64,False,vs,mc_w,0.0054652152981996,1701,123,True,78,45,1390,188,0.0313588850174216,0.706766917293233
"(80, 20)",low,True,0.004,True,31,True,baseline,mc_w,0.0163956458945988,189,0,False,0,0,75,114,0.0,1.0
"(80, 20)",low,True,0.004,True,31,True,vs,mc_w,0.0163956458945988,189,43,True,43,0,75,71,0.0,0.6228070175438597
"(80, 20)",low,True,0.004,True,31,False,baseline,mc_w,0.0081978229472994,756,2,False,0,2,640,114,0.003115264797507788,1.0
"(80, 20)",low,True,0.004,True,31,False,vs,mc_w,0.0081978229472994,756,73,True,40,33,609,74,0.0514018691588785,0.6491228070175439
"(80, 20)",low,True,0.004,False,86,True,baseline,mc_w,0.0057735026918962,1512,2,False,0,2,1054,456,0.001893939393939394,1.0
"(80, 20)",low,True,0.004,False,86,True,vs,mc_w,0.0057735026918962,1512,123,True,113,10,1046,343,0.00946969696969697,0.7521929824561403
"(80, 20)",low,True,0.004,False,86,False,baseline,mc_w,0.0032444284226152,4788,20,False,0,20,4312,456,0.0046168051708217915,1.0
"(80, 20)",low,True,0.004,False,86,False,vs,mc_w,0.0032444284226152,4788,128,False,100,28,4304,356,0.006463527239150508,0.7807017543859649
"(80, 20)",low,True,0.004,False,64,True,baseline,mc_w,0.0075592894601845,882,3,False,0,3,613,266,0.00487012987012987,1.0
"(80, 20)",low,True,0.004,False,64,True,vs,mc_w,0.0075592894601845,882,95,True,88,7,609,178,0.011363636363636364,0.6691729323308271
"(80, 20)",low,True,0.004,False,64,False,baseline,mc_w,0.0038490017945975,3402,13,False,0,13,3123,266,0.004145408163265306,1.0
"(80, 20)",low,True,0.004,False,64,False,vs,mc_w,0.0038490017945975,3402,102,False,72,30,3106,194,0.009566326530612245,0.7293233082706767
"(80, 20)",low,True,0.004,False,31,True,baseline,mc_w,0.0115470053837925,378,0,False,0,0,264,114,0.0,1.0
"(80, 20)",low,True,0.004,False,31,True,vs,mc_w,0.0115470053837925,378,41,True,41,0,264,73,0.0,0.6403508771929824
"(80, 20)",low,True,0.004,False,31,False,baseline,mc_w,0.0057735026918962,1512,4,False,0,4,1394,114,0.002861230329041488,1.0
"(80, 20)",low,True,0.004,False,31,False,vs,mc_w,0.0057735026918962,1512,59,False,36,23,1375,78,0.016452074391988557,0.6842105263157895
"(80, 20)",low,True,0.012,True,86,True,baseline,mc_w,0.0144337567297406,252,0,False,0,0,108,144,0.0,1.0
"(80, 20)",low,True,0.012,True,86,True,vs,mc_w,0.0144337567297406,252,46,True,46,0,108,98,0.0,0.6805555555555556
"(80, 20)",low,True,0.012,True,86,False,baseline,mc_w,0.0081110710565381,798,2,False,0,2,652,144,0.0030581039755351682,1.0
"(80, 20)",low,True,0.012,True,86,False,vs,mc_w,0.0081110710565381,798,50,True,40,10,644,104,0.01529051987767584,0.7222222222222222
"(80, 20)",low,True,0.012,True,64,True,baseline,mc_w,0.0188982236504613,147,0,False,0,0,63,84,0.0,1.0
"(80, 20)",low,True,0.012,True,64,True,vs,mc_w,0.0188982236504613,147,40,True,38,2,61,46,0.031746031746031744,0.5476190476190477
