amplitude,noise,band_pass,window_size,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,precision,recall,F1,type_I_ER,type_II_ER
"(80, 30)",high,False,0.012,86,False,lateralization,mc_w,0.0056650177570259,1596,25,False,23,2,1450,121,0.92,0.1597222222222222,0.272189349112426,0.0013774104683195593,0.8402777777777778
"(80, 30)",high,False,0.012,64,True,lateralization,mc_w,0.0131990919337113,294,18,True,18,0,210,66,1.0,0.21428571428571427,0.35294117647058826,0.0,0.7857142857142857
"(80, 30)",high,False,0.012,64,False,lateralization,mc_w,0.0067206486545459,1134,20,False,18,2,1048,66,0.9,0.21428571428571427,0.3461538461538461,0.0019047619047619048,0.7857142857142857
"(80, 30)",high,False,0.012,31,True,lateralization,mc_w,0.0201619459636377,126,10,True,10,0,90,26,1.0,0.2777777777777778,0.4347826086956522,0.0,0.7222222222222222
"(80, 30)",high,False,0.012,31,False,lateralization,mc_w,0.0100809729818188,504,9,False,9,0,468,27,1.0,0.25,0.4,0.0,0.75
"(80, 30)",high,False,0.02,86,True,lateralization,mc_w,0.012909944487358,312,12,False,12,0,216,84,1.0,0.125,0.2222222222222222,0.0,0.875
"(80, 30)",high,False,0.02,86,False,lateralization,mc_w,0.0072547625011001,988,12,False,10,2,890,86,0.8333333333333334,0.10416666666666667,0.1851851851851852,0.002242152466367713,0.8958333333333334
"(80, 30)",high,False,0.02,64,True,lateralization,mc_w,0.0169030850945703,182,11,True,11,0,126,45,1.0,0.19642857142857142,0.3283582089552239,0.0,0.8035714285714286
"(80, 30)",high,False,0.02,64,False,lateralization,mc_w,0.0086066296582387,702,10,False,8,2,644,48,0.8,0.14285714285714285,0.24242424242424243,0.0030959752321981426,0.8571428571428571
"(80, 30)",high,False,0.02,31,True,lateralization,mc_w,0.0258198889747161,78,8,True,8,0,54,16,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666
"(80, 30)",high,False,0.02,31,False,lateralization,mc_w,0.012909944487358,312,4,False,4,0,288,20,1.0,0.16666666666666666,0.2857142857142857,0.0,0.8333333333333334
"(80, 30)",high,False,0.004,86,True,lateralization,mc_b,3.306878306878307e-05,1512,6,False,6,0,1056,450,1.0,0.013157894736842105,0.025974025974025976,0.0,0.9868421052631579
"(80, 30)",high,False,0.004,86,False,lateralization,mc_b,1.0442773600668338e-05,4788,3,False,3,0,4332,453,1.0,0.006578947368421052,0.013071895424836602,0.0,0.993421052631579
"(80, 30)",high,False,0.004,64,True,lateralization,mc_b,5.668934240362812e-05,882,10,False,10,0,616,256,1.0,0.03759398496240601,0.07246376811594202,0.0,0.9624060150375939
"(80, 30)",high,False,0.004,64,False,lateralization,mc_b,1.4697236919459142e-05,3402,4,False,4,0,3136,262,1.0,0.015037593984962405,0.029629629629629624,0.0,0.9849624060150376
"(80, 30)",high,False,0.004,31,True,lateralization,mc_b,0.0001322751322751,378,9,False,9,0,264,105,1.0,0.07894736842105263,0.14634146341463414,0.0,0.9210526315789473
"(80, 30)",high,False,0.004,31,False,lateralization,mc_b,3.306878306878307e-05,1512,4,False,4,0,1398,110,1.0,0.03508771929824561,0.06779661016949151,0.0,0.9649122807017544
"(80, 30)",high,False,0.012,86,True,lateralization,mc_b,9.92063492063492e-05,504,7,False,7,0,360,137,1.0,0.04861111111111111,0.09271523178807947,0.0,0.9513888888888888
"(80, 30)",high,False,0.012,86,False,lateralization,mc_b,3.132832080200501e-05,1596,1,False,1,0,1452,143,1.0,0.006944444444444444,0.013793103448275862,0.0,0.9930555555555556
"(80, 30)",high,False,0.012,64,True,lateralization,mc_b,0.0001700680272108,294,7,False,7,0,210,77,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666
"(80, 30)",high,False,0.012,64,False,lateralization,mc_b,4.409171075837743e-05,1134,2,False,2,0,1050,82,1.0,0.023809523809523808,0.046511627906976744,0.0,0.9761904761904762
"(80, 30)",high,False,0.012,31,True,lateralization,mc_b,0.0003968253968253,126,5,False,5,0,90,31,1.0,0.1388888888888889,0.24390243902439027,0.0,0.8611111111111112
"(80, 30)",high,False,0.012,31,False,lateralization,mc_b,9.92063492063492e-05,504,3,False,3,0,468,33,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666
"(80, 30)",high,False,0.02,86,True,lateralization,mc_b,0.0001602564102564,312,2,False,2,0,216,94,1.0,0.020833333333333332,0.04081632653061225,0.0,0.9791666666666666
"(80, 30)",high,False,0.02,86,False,lateralization,mc_b,5.060728744939272e-05,988,1,False,1,0,892,95,1.0,0.010416666666666666,0.020618556701030924,0.0,0.9895833333333334
"(80, 30)",high,False,0.02,64,True,lateralization,mc_b,0.0002747252747252,182,2,False,2,0,126,54,1.0,0.03571428571428571,0.0689655172413793,0.0,0.9642857142857143
"(80, 30)",high,False,0.02,64,False,lateralization,mc_b,7.122507122507123e-05,702,1,False,1,0,646,55,1.0,0.017857142857142856,0.03508771929824561,0.0,0.9821428571428571
"(80, 30)",high,False,0.02,31,True,lateralization,mc_b,0.0006410256410256,78,3,False,3,0,54,21,1.0,0.125,0.2222222222222222,0.0,0.875
"(80, 30)",high,False,0.02,31,False,lateralization,mc_b,0.0001602564102564,312,1,False,1,0,288,23,1.0,0.041666666666666664,0.07999999999999999,0.0,0.9583333333333334
"(80, 30)",low,True,0.004,86,True,lateralization,mc_w,0.0057735026918962,1512,106,True,102,4,1052,354,0.9622641509433962,0.2236842105263158,0.3629893238434164,0.003787878787878788,0.7763157894736842
"(80, 30)",low,True,0.004,86,False,lateralization,mc_w,0.0032444284226152,4788,108,False,89,19,4313,367,0.8240740740740741,0.19517543859649122,0.3156028368794326,0.0043859649122807015,0.8048245614035088
"(80, 30)",low,True,0.004,64,True,lateralization,mc_w,0.0075592894601845,882,90,True,86,4,612,180,0.9555555555555556,0.3233082706766917,0.48314606741573024,0.006493506493506494,0.6766917293233082
"(80, 30)",low,True,0.004,64,False,lateralization,mc_w,0.0038490017945975,3402,86,False,67,19,3117,199,0.7790697674418605,0.2518796992481203,0.3806818181818182,0.006058673469387755,0.7481203007518797
"(80, 30)",low,True,0.004,31,True,lateralization,mc_w,0.0115470053837925,378,34,True,31,3,261,83,0.9117647058823529,0.2719298245614035,0.4189189189189189,0.011363636363636364,0.7280701754385965
"(80, 30)",low,True,0.004,31,False,lateralization,mc_w,0.0057735026918962,1512,38,False,23,15,1383,91,0.6052631578947368,0.20175438596491227,0.3026315789473684,0.01072961373390558,0.7982456140350878
"(80, 30)",low,True,0.012,86,True,lateralization,mc_w,0.0100809729818188,504,36,True,36,0,360,108,1.0,0.25,0.4,0.0,0.75
"(80, 30)",low,True,0.012,86,False,lateralization,mc_w,0.0056650177570259,1596,35,False,32,3,1449,112,0.9142857142857143,0.2222222222222222,0.35754189944134074,0.002066115702479339,0.7777777777777778
"(80, 30)",low,True,0.012,64,True,lateralization,mc_w,0.0131990919337113,294,31,True,31,0,210,53,1.0,0.36904761904761907,0.5391304347826087,0.0,0.6309523809523809
"(80, 30)",low,True,0.012,64,False,lateralization,mc_w,0.0067206486545459,1134,24,False,21,3,1047,63,0.875,0.25,0.3888888888888889,0.002857142857142857,0.75
"(80, 30)",low,True,0.012,31,True,lateralization,mc_w,0.0201619459636377,126,12,True,12,0,90,24,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666
"(80, 30)",low,True,0.012,31,False,lateralization,mc_w,0.0100809729818188,504,13,False,8,5,463,28,0.6153846153846154,0.2222222222222222,0.326530612244898,0.010683760683760684,0.7777777777777778
"(80, 30)",low,True,0.02,86,True,lateralization,mc_w,0.012909944487358,312,26,True,26,0,216,70,1.0,0.2708333333333333,0.4262295081967213,0.0,0.7291666666666666
"(80, 30)",low,True,0.02,86,False,lateralization,mc_w,0.0072547625011001,988,18,False,18,0,892,78,1.0,0.1875,0.3157894736842105,0.0,0.8125
"(80, 30)",low,True,0.02,64,True,lateralization,mc_w,0.0169030850945703,182,19,True,19,0,126,37,1.0,0.3392857142857143,0.5066666666666666,0.0,0.6607142857142857
"(80, 30)",low,True,0.02,64,False,lateralization,mc_w,0.0086066296582387,702,17,False,17,0,646,39,1.0,0.30357142857142855,0.4657534246575342,0.0,0.6964285714285714
"(80, 30)",low,True,0.02,31,True,lateralization,mc_w,0.0258198889747161,78,7,True,7,0,54,17,1.0,0.2916666666666667,0.45161290322580644,0.0,0.7083333333333334
"(80, 30)",low,True,0.02,31,False,lateralization,mc_w,0.012909944487358,312,5,False,5,0,288,19,1.0,0.20833333333333334,0.3448275862068966,0.0,0.7916666666666666
"(80, 30)",low,True,0.004,86,True,lateralization,mc_b,3.306878306878307e-05,1512,14,False,14,0,1056,442,1.0,0.03070175438596491,0.05957446808510638,0.0,0.9692982456140351
"(80, 30)",low,True,0.004,86,False,lateralization,mc_b,1.0442773600668338e-05,4788,3,False,3,0,4332,453,1.0,0.006578947368421052,0.013071895424836602,0.0,0.993421052631579
"(80, 30)",low,True,0.004,64,True,lateralization,mc_b,5.668934240362812e-05,882,13,False,13,0,616,253,1.0,0.04887218045112782,0.09318996415770608,0.0,0.9511278195488722
"(80, 30)",low,True,0.004,64,False,lateralization,mc_b,1.4697236919459142e-05,3402,5,False,5,0,3136,261,1.0,0.018796992481203006,0.03690036900369004,0.0,0.981203007518797
"(80, 30)",low,True,0.004,31,True,lateralization,mc_b,0.0001322751322751,378,6,False,6,0,264,108,1.0,0.05263157894736842,0.1,0.0,0.9473684210526315
"(80, 30)",low,True,0.004,31,False,lateralization,mc_b,3.306878306878307e-05,1512,5,False,5,0,1398,109,1.0,0.043859649122807015,0.08403361344537816,0.0,0.956140350877193
"(80, 30)",low,True,0.012,86,True,lateralization,mc_b,9.92063492063492e-05,504,9,False,9,0,360,135,1.0,0.0625,0.11764705882352941,0.0,0.9375
"(80, 30)",low,True,0.012,86,False,lateralization,mc_b,3.132832080200501e-05,1596,4,False,4,0,1452,140,1.0,0.027777777777777776,0.05405405405405406,0.0,0.9722222222222222
"(80, 30)",low,True,0.012,64,True,lateralization,mc_b,0.0001700680272108,294,8,False,8,0,210,76,1.0,0.09523809523809523,0.17391304347826084,0.0,0.9047619047619048
"(80, 30)",low,True,0.012,64,False,lateralization,mc_b,4.409171075837743e-05,1134,4,False,4,0,1050,80,1.0,0.047619047619047616,0.0909090909090909,0.0,0.9523809523809523
"(80, 30)",low,True,0.012,31,True,lateralization,mc_b,0.0003968253968253,126,3,False,3,0,90,33,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666
"(80, 30)",low,True,0.012,31,False,lateralization,mc_b,9.92063492063492e-05,504,3,False,2,1,467,34,0.6666666666666666,0.05555555555555555,0.10256410256410256,0.002136752136752137,0.9444444444444444
"(80, 30)",low,True,0.02,86,True,lateralization,mc_b,0.0001602564102564,312,6,False,6,0,216,90,1.0,0.0625,0.11764705882352941,0.0,0.9375
"(80, 30)",low,True,0.02,86,False,lateralization,mc_b,5.060728744939272e-05,988,5,False,4,1,891,92,0.8,0.041666666666666664,0.07920792079207921,0.0011210762331838565,0.9583333333333334
