amplitude,noise,band_pass,window_size,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,precision,recall,F1,type_I_ER,type_II_ER
"(60, 20)",high,False,0.012,64,False,baseline,cp,0.05,110,0,False,0,0,102,8,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.012,64,False,vs_right,cp,0.05,92,4,True,2,2,88,0,0.5,1.0,0.6666666666666666,0.022222222222222223,0.0
"(60, 20)",high,False,0.012,64,False,vs_left,cp,0.05,89,4,True,2,2,84,1,0.5,0.6666666666666666,0.5714285714285715,0.023255813953488372,0.3333333333333333
"(60, 20)",high,False,0.012,64,False,difference,cp,0.05,96,0,False,0,0,90,6,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.012,31,True,baseline,cp,0.05,14,0,False,0,0,9,5,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.012,31,True,vs_right,cp,0.05,19,4,True,3,1,8,7,0.75,0.3,0.4285714285714285,0.1111111111111111,0.7
"(60, 20)",high,False,0.012,31,True,vs_left,cp,0.05,19,2,True,2,0,6,11,1.0,0.15384615384615385,0.2666666666666667,0.0,0.8461538461538461
"(60, 20)",high,False,0.012,31,True,difference,cp,0.05,10,0,False,0,0,4,6,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.012,31,False,baseline,cp,0.05,61,0,False,0,0,56,5,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.012,31,False,vs_right,cp,0.05,67,12,True,6,6,51,4,0.5,0.6,0.5454545454545454,0.10526315789473684,0.4
"(60, 20)",high,False,0.012,31,False,vs_left,cp,0.05,74,13,True,6,7,54,7,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.11475409836065574,0.5384615384615384
"(60, 20)",high,False,0.012,31,False,difference,cp,0.05,51,0,False,0,0,45,6,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.02,86,True,baseline,cp,0.05,27,0,False,0,0,21,6,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.02,86,True,vs_right,cp,0.05,25,2,True,2,0,20,3,1.0,0.4,0.5714285714285715,0.0,0.6
"(60, 20)",high,False,0.02,86,True,vs_left,cp,0.05,20,2,True,2,0,16,2,1.0,0.5,0.6666666666666666,0.0,0.5
"(60, 20)",high,False,0.02,86,True,difference,cp,0.05,27,0,False,0,0,20,7,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.02,86,False,baseline,cp,0.05,99,1,True,0,1,92,6,0.0,0.0,0.0,0.010752688172043012,1.0
"(60, 20)",high,False,0.02,86,False,vs_right,cp,0.05,81,4,True,3,1,75,2,0.75,0.6,0.6666666666666665,0.013157894736842105,0.4
"(60, 20)",high,False,0.02,86,False,vs_left,cp,0.05,63,4,True,3,1,58,1,0.75,0.75,0.75,0.01694915254237288,0.25
"(60, 20)",high,False,0.02,86,False,difference,cp,0.05,86,0,False,0,0,79,7,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.02,64,True,baseline,cp,0.05,17,0,False,0,0,12,5,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.02,64,True,vs_right,cp,0.05,15,2,True,2,0,12,1,1.0,0.6666666666666666,0.8,0.0,0.3333333333333333
"(60, 20)",high,False,0.02,64,True,vs_left,cp,0.05,11,2,True,2,0,8,1,1.0,0.6666666666666666,0.8,0.0,0.3333333333333333
