amplitude,noise,band_pass,window_size,time_interval,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,type_I_ER,type_II_ER
"(40, 20)",high,True,0.012,False,64,False,difference,mc_w,0.0043129097458897,2688,2,False,0,2,2470,216,0.0008090614886731392,1.0
"(40, 20)",high,True,0.012,False,31,True,baseline,mc_w,0.0121987509118566,336,4,False,0,4,332,0,0.011904761904761904,0.0
"(40, 20)",high,True,0.012,False,31,True,vs_right,mc_w,0.0121987509118566,336,44,True,41,3,237,55,0.0125,0.5729166666666666
"(40, 20)",high,True,0.012,False,31,True,vs_left,mc_w,0.0121987509118566,336,46,True,45,1,239,51,0.004166666666666667,0.53125
"(40, 20)",high,True,0.012,False,31,True,difference,mc_w,0.0121987509118566,336,0,False,0,0,240,96,0.0,1.0
"(40, 20)",high,True,0.012,False,31,False,baseline,mc_w,0.0061969716601979,1302,2,False,0,2,1300,0,0.0015360983102918587,0.0
"(40, 20)",high,True,0.012,False,31,False,vs_right,mc_w,0.0061969716601979,1302,58,False,37,21,1185,59,0.017412935323383085,0.6145833333333334
"(40, 20)",high,True,0.012,False,31,False,vs_left,mc_w,0.0061969716601979,1302,49,False,38,11,1195,58,0.00912106135986733,0.6041666666666666
"(40, 20)",high,True,0.012,False,31,False,difference,mc_w,0.0061969716601979,1302,2,False,0,2,1204,96,0.001658374792703151,1.0
"(40, 20)",high,True,0.02,True,86,True,baseline,mc_w,0.0117201807734623,364,3,False,0,3,361,0,0.008241758241758242,0.0
"(40, 20)",high,True,0.02,True,86,True,vs_right,mc_w,0.0117201807734623,364,69,True,69,0,140,155,0.0,0.6919642857142857
"(40, 20)",high,True,0.02,True,86,True,vs_left,mc_w,0.0117201807734623,364,75,True,75,0,140,149,0.0,0.6651785714285714
"(40, 20)",high,True,0.02,True,86,True,difference,mc_w,0.0117201807734623,364,0,False,0,0,140,224,0.0,1.0
