amplitude,noise_filter,band_pass,window_size,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,precision,recall,F1
4020,0.1,False,0.004,31,True,baseline,w,0.0070710678118654,1008,15,False,0,15,689,304,0.0,0.0,
4020,0.1,False,0.004,31,True,vs_right,w,0.0070710678118654,1008,114,True,114,0,704,190,1.0,0.375,0.5454545454545454
4020,0.1,False,0.004,31,True,vs_left,w,0.0070710678118654,1008,114,True,110,4,700,194,0.9649122807017544,0.3618421052631579,0.5263157894736843
4020,0.1,False,0.004,31,True,difference,w,0.0070710678118654,1008,6,False,0,6,698,304,0.0,0.0,
4020,0.1,False,0.004,31,False,baseline,w,0.0035921060405354,3906,6,False,0,6,3596,304,0.0,0.0,
4020,0.1,False,0.004,31,False,vs_right,w,0.0035921060405354,3906,151,False,102,49,3553,202,0.6754966887417219,0.3355263157894737,0.4483516483516483
4020,0.1,False,0.004,31,False,vs_left,w,0.0035921060405354,3906,154,False,95,59,3543,209,0.6168831168831169,0.3125,0.4148471615720524
4020,0.1,False,0.004,31,False,difference,w,0.0035921060405354,3906,9,False,0,9,3593,304,0.0,0.0,
4020,0.1,False,0.012,86,True,baseline,w,0.0065995459668556,1176,4,False,0,4,836,336,0.0,0.0,
4020,0.1,False,0.012,86,True,vs_right,w,0.0065995459668556,1176,113,True,111,2,838,225,0.9823008849557522,0.33035714285714285,0.49443207126948774
4020,0.1,False,0.012,86,True,vs_left,w,0.0065995459668556,1176,119,True,117,2,838,219,0.9831932773109243,0.3482142857142857,0.5142857142857143
4020,0.1,False,0.012,86,True,difference,w,0.0065995459668556,1176,0,False,0,0,840,336,1.0,0.0,0.0
4020,0.1,False,0.012,86,False,baseline,w,0.0037656837841065,3612,6,False,0,6,3270,336,0.0,0.0,
4020,0.1,False,0.012,86,False,vs_right,w,0.0037656837841065,3612,114,False,94,20,3256,242,0.8245614035087719,0.27976190476190477,0.41777777777777775
4020,0.1,False,0.012,86,False,vs_left,w,0.0037656837841065,3612,126,False,104,22,3254,232,0.8253968253968254,0.30952380952380953,0.45021645021645024
4020,0.1,False,0.012,86,False,difference,w,0.0037656837841065,3612,4,False,0,4,3272,336,0.0,0.0,
4020,0.1,False,0.012,64,True,baseline,w,0.0082310799720799,756,4,False,0,4,536,216,0.0,0.0,
4020,0.1,False,0.012,64,True,vs_right,w,0.0082310799720799,756,85,True,83,2,538,133,0.9764705882352941,0.38425925925925924,0.5514950166112957
4020,0.1,False,0.012,64,True,vs_left,w,0.0082310799720799,756,92,True,90,2,538,126,0.9782608695652174,0.4166666666666667,0.5844155844155845
4020,0.1,False,0.012,64,True,difference,w,0.0082310799720799,756,0,False,0,0,540,216,1.0,0.0,0.0
4020,0.1,False,0.012,64,False,baseline,w,0.0043651893485598,2688,6,False,0,6,2466,216,0.0,0.0,
4020,0.1,False,0.012,64,False,vs_right,w,0.0043651893485598,2688,89,False,70,19,2453,146,0.7865168539325843,0.32407407407407407,0.459016393442623
4020,0.1,False,0.012,64,False,vs_left,w,0.0043651893485598,2688,90,False,72,18,2454,144,0.8,0.3333333333333333,0.47058823529411764
4020,0.1,False,0.012,64,False,difference,w,0.0043651893485598,2688,4,False,0,4,2468,216,0.0,0.0,
4020,0.1,False,0.012,31,True,baseline,w,0.0123466199581198,336,4,False,0,4,236,96,0.0,0.0,
4020,0.1,False,0.012,31,True,vs_right,w,0.0123466199581198,336,42,True,38,4,236,58,0.9047619047619048,0.3958333333333333,0.5507246376811594
4020,0.1,False,0.012,31,True,vs_left,w,0.0123466199581198,336,43,True,43,0,240,53,1.0,0.4479166666666667,0.6187050359712231
4020,0.1,False,0.012,31,True,difference,w,0.0123466199581198,336,0,False,0,0,240,96,1.0,0.0,0.0
4020,0.1,False,0.012,31,False,baseline,w,0.0062720892108172,1302,4,False,0,4,1202,96,0.0,0.0,
4020,0.1,False,0.012,31,False,vs_right,w,0.0062720892108172,1302,52,False,35,17,1189,61,0.6730769230769231,0.3645833333333333,0.472972972972973
4020,0.1,False,0.012,31,False,vs_left,w,0.0062720892108172,1302,45,False,32,13,1193,64,0.7111111111111111,0.3333333333333333,0.45390070921985815
4020,0.1,False,0.012,31,False,difference,w,0.0062720892108172,1302,2,False,0,2,1204,96,0.0,0.0,
4020,0.1,False,0.02,86,True,baseline,w,0.0084515425472851,728,0,False,0,0,504,224,1.0,0.0,0.0
4020,0.1,False,0.02,86,True,vs_right,w,0.0084515425472851,728,62,True,60,2,502,164,0.967741935483871,0.26785714285714285,0.41958041958041964
4020,0.1,False,0.02,86,True,vs_left,w,0.0084515425472851,728,65,True,65,0,504,159,1.0,0.29017857142857145,0.4498269896193772
4020,0.1,False,0.02,86,True,difference,w,0.0084515425472851,728,0,False,0,0,504,224,1.0,0.0,0.0
4020,0.1,False,0.02,86,False,baseline,w,0.0048224282217041,2236,2,False,0,2,2010,224,0.0,0.0,
4020,0.1,False,0.02,86,False,vs_right,w,0.0048224282217041,2236,59,False,50,9,2003,174,0.847457627118644,0.22321428571428573,0.35335689045936397
4020,0.1,False,0.02,86,False,vs_left,w,0.0048224282217041,2236,60,False,50,10,2002,174,0.8333333333333334,0.22321428571428573,0.35211267605633806
4020,0.1,False,0.02,86,False,difference,w,0.0048224282217041,2236,0,False,0,0,2012,224,1.0,0.0,0.0
4020,0.1,False,0.02,64,True,baseline,w,0.0105409255338945,468,0,False,0,0,324,144,1.0,0.0,0.0
4020,0.1,False,0.02,64,True,vs_right,w,0.0105409255338945,468,46,True,45,1,323,99,0.9782608695652174,0.3125,0.4736842105263158
4020,0.1,False,0.02,64,True,vs_left,w,0.0105409255338945,468,53,True,53,0,324,91,1.0,0.3680555555555556,0.5380710659898478
4020,0.1,False,0.02,64,True,difference,w,0.0105409255338945,468,0,False,0,0,324,144,1.0,0.0,0.0
4020,0.1,False,0.02,64,False,baseline,w,0.0055901699437494,1664,0,False,0,0,1520,144,1.0,0.0,0.0
4020,0.1,False,0.02,64,False,vs_right,w,0.0055901699437494,1664,47,False,40,7,1513,104,0.851063829787234,0.2777777777777778,0.418848167539267
4020,0.1,False,0.02,64,False,vs_left,w,0.0055901699437494,1664,52,False,42,10,1510,102,0.8076923076923077,0.2916666666666667,0.4285714285714286
4020,0.1,False,0.02,64,False,difference,w,0.0055901699437494,1664,0,False,0,0,1520,144,1.0,0.0,0.0
4020,0.1,False,0.02,31,True,baseline,w,0.0158113883008418,208,2,False,0,2,142,64,0.0,0.0,
4020,0.1,False,0.02,31,True,vs_right,w,0.0158113883008418,208,25,True,24,1,143,40,0.96,0.375,0.5393258426966292
4020,0.1,False,0.02,31,True,vs_left,w,0.0158113883008418,208,23,True,23,0,144,41,1.0,0.359375,0.5287356321839081
4020,0.1,False,0.02,31,True,difference,w,0.0158113883008418,208,1,False,0,1,143,64,0.0,0.0,
4020,0.1,False,0.02,31,False,baseline,w,0.0080321932890249,806,0,False,0,0,742,64,1.0,0.0,0.0
4020,0.1,False,0.02,31,False,vs_right,w,0.0080321932890249,806,26,False,19,7,735,45,0.7307692307692307,0.296875,0.42222222222222217
4020,0.1,False,0.02,31,False,vs_left,w,0.0080321932890249,806,25,False,19,6,736,45,0.76,0.296875,0.42696629213483145
4020,0.1,False,0.02,31,False,difference,w,0.0080321932890249,806,0,False,0,0,742,64,1.0,0.0,0.0
4020,0.2,True,0.004,86,True,baseline,w,0.0037796447300922,3528,13,False,0,13,2451,1064,0.0,0.0,
4020,0.2,True,0.004,86,True,vs_right,w,0.0037796447300922,3528,462,True,429,33,2431,635,0.9285714285714286,0.4031954887218045,0.5622542595019658
4020,0.2,True,0.004,86,True,vs_left,w,0.0037796447300922,3528,426,True,416,10,2454,648,0.9765258215962441,0.39097744360902253,0.5583892617449664
4020,0.2,True,0.004,86,True,difference,w,0.0037796447300922,3528,28,False,11,17,2447,1053,0.39285714285714285,0.010338345864661654,0.020146520146520148
4020,0.2,True,0.004,86,False,baseline,w,0.0021566554640687,10836,27,False,0,27,9745,1064,0.0,0.0,
4020,0.2,True,0.004,86,False,vs_right,w,0.0021566554640687,10836,872,True,383,489,9283,681,0.43922018348623854,0.3599624060150376,0.3956611570247934
4020,0.2,True,0.004,86,False,vs_left,w,0.0021566554640687,10836,929,True,380,549,9223,684,0.40904198062432723,0.35714285714285715,0.38133467134972404
4020,0.2,True,0.004,86,False,difference,w,0.0021566554640687,10836,20,False,4,16,9756,1060,0.2,0.0037593984962406013,0.007380073800738007
4020,0.2,True,0.004,64,True,baseline,w,0.0047140452079103,2268,2,False,0,2,1582,684,0.0,0.0,
4020,0.2,True,0.004,64,True,vs_right,w,0.0047140452079103,2268,341,True,317,24,1560,367,0.9296187683284457,0.46345029239766083,0.6185365853658537
4020,0.2,True,0.004,64,True,vs_left,w,0.0047140452079103,2268,320,True,307,13,1571,377,0.959375,0.44883040935672514,0.6115537848605578
4020,0.2,True,0.004,64,True,difference,w,0.0047140452079103,2268,16,False,6,10,1574,678,0.375,0.008771929824561403,0.01714285714285714
4020,0.2,True,0.004,64,False,baseline,w,0.0025,8064,18,False,0,18,7362,684,0.0,0.0,
4020,0.2,True,0.004,64,False,vs_right,w,0.0025,8064,683,True,277,406,6974,407,0.4055636896046852,0.40497076023391815,0.40526700804681787
4020,0.2,True,0.004,64,False,vs_left,w,0.0025,8064,711,True,274,437,6943,410,0.3853727144866385,0.40058479532163743,0.392831541218638
4020,0.2,True,0.004,64,False,difference,w,0.0025,8064,19,False,4,15,7365,680,0.21052631578947367,0.005847953216374269,0.011379800853485065
4020,0.2,True,0.004,31,True,baseline,w,0.0070710678118654,1008,2,False,0,2,702,304,0.0,0.0,
4020,0.2,True,0.004,31,True,vs_right,w,0.0070710678118654,1008,154,True,134,20,684,170,0.8701298701298701,0.4407894736842105,0.5851528384279476
4020,0.2,True,0.004,31,True,vs_left,w,0.0070710678118654,1008,143,True,128,15,689,176,0.8951048951048951,0.42105263157894735,0.5727069351230426
4020,0.2,True,0.004,31,True,difference,w,0.0070710678118654,1008,13,False,4,9,695,300,0.3076923076923077,0.013157894736842105,0.025236593059936908
4020,0.2,True,0.004,31,False,baseline,w,0.0035921060405354,3906,22,False,0,22,3580,304,0.0,0.0,
4020,0.2,True,0.004,31,False,vs_right,w,0.0035921060405354,3906,352,True,121,231,3371,183,0.34375,0.3980263157894737,0.36890243902439024
4020,0.2,True,0.004,31,False,vs_left,w,0.0035921060405354,3906,348,True,112,236,3366,192,0.3218390804597701,0.3684210526315789,0.3435582822085889
4020,0.2,True,0.004,31,False,difference,w,0.0035921060405354,3906,19,False,2,17,3585,302,0.10526315789473684,0.006578947368421052,0.012383900928792569
4020,0.2,True,0.012,86,True,baseline,w,0.0065995459668556,1176,1,False,0,1,839,336,0.0,0.0,
4020,0.2,True,0.012,86,True,vs_right,w,0.0065995459668556,1176,159,True,150,9,831,186,0.9433962264150944,0.44642857142857145,0.6060606060606061
4020,0.2,True,0.012,86,True,vs_left,w,0.0065995459668556,1176,155,True,153,2,838,183,0.9870967741935484,0.45535714285714285,0.6232179226069247
4020,0.2,True,0.012,86,True,difference,w,0.0065995459668556,1176,10,False,4,6,834,332,0.4,0.011904761904761904,0.023121387283236993
4020,0.2,True,0.012,86,False,baseline,w,0.0037656837841065,3612,7,False,0,7,3269,336,0.0,0.0,
4020,0.2,True,0.012,86,False,vs_right,w,0.0037656837841065,3612,317,True,138,179,3097,198,0.4353312302839117,0.4107142857142857,0.42266462480857575
4020,0.2,True,0.012,86,False,vs_left,w,0.0037656837841065,3612,314,True,133,181,3095,203,0.42356687898089174,0.3958333333333333,0.40923076923076923
4020,0.2,True,0.012,86,False,difference,w,0.0037656837841065,3612,2,False,0,2,3274,336,0.0,0.0,
4020,0.2,True,0.012,64,True,baseline,w,0.0082310799720799,756,1,False,0,1,539,216,0.0,0.0,
4020,0.2,True,0.012,64,True,vs_right,w,0.0082310799720799,756,121,True,107,14,526,109,0.8842975206611571,0.49537037037037035,0.6350148367952522
4020,0.2,True,0.012,64,True,vs_left,w,0.0082310799720799,756,111,True,109,2,538,107,0.9819819819819819,0.5046296296296297,0.6666666666666667
4020,0.2,True,0.012,64,True,difference,w,0.0082310799720799,756,6,False,2,4,536,214,0.3333333333333333,0.009259259259259259,0.018018018018018018
4020,0.2,True,0.012,64,False,baseline,w,0.0043651893485598,2688,7,False,0,7,2465,216,0.0,0.0,
4020,0.2,True,0.012,64,False,vs_right,w,0.0043651893485598,2688,254,True,101,153,2319,115,0.39763779527559057,0.4675925925925926,0.4297872340425532
4020,0.2,True,0.012,64,False,vs_left,w,0.0043651893485598,2688,245,True,99,146,2326,117,0.40408163265306124,0.4583333333333333,0.42950108459869846
4020,0.2,True,0.012,64,False,difference,w,0.0043651893485598,2688,2,False,0,2,2470,216,0.0,0.0,
4020,0.2,True,0.012,31,True,baseline,w,0.0123466199581198,336,1,False,0,1,239,96,0.0,0.0,
4020,0.2,True,0.012,31,True,vs_right,w,0.0123466199581198,336,55,True,45,10,230,51,0.8181818181818182,0.46875,0.5960264900662251
4020,0.2,True,0.012,31,True,vs_left,w,0.0123466199581198,336,50,True,48,2,238,48,0.96,0.5,0.6575342465753424
4020,0.2,True,0.012,31,True,difference,w,0.0123466199581198,336,4,False,2,2,238,94,0.5,0.020833333333333332,0.039999999999999994
4020,0.2,True,0.012,31,False,baseline,w,0.0062720892108172,1302,6,False,0,6,1200,96,0.0,0.0,
4020,0.2,True,0.012,31,False,vs_right,w,0.0062720892108172,1302,128,True,43,85,1121,53,0.3359375,0.4479166666666667,0.3839285714285714
4020,0.2,True,0.012,31,False,vs_left,w,0.0062720892108172,1302,114,True,41,73,1133,55,0.35964912280701755,0.4270833333333333,0.39047619047619053
4020,0.2,True,0.012,31,False,difference,w,0.0062720892108172,1302,6,False,2,4,1202,94,0.3333333333333333,0.020833333333333332,0.0392156862745098
4020,0.2,True,0.02,86,True,baseline,w,0.0084515425472851,728,1,False,0,1,503,224,0.0,0.0,
