window_size,density,local,condition,test,channel_count,time_count,total_count,amp,noise
4,86,TRUE,vs_right,sw,23,27,27,6020,0.2
4,86,TRUE,vs_left,sw,24,41,41,6020,0.2
4,86,TRUE,difference,sw,6,13,13,6020,0.2
4,86,FALSE,baseline,sw,8,18,18,6020,0.2
4,86,FALSE,vs_right,sw,60,52,52,6020,0.2
4,86,FALSE,vs_left,sw,51,48,48,6020,0.2
4,86,FALSE,difference,sw,15,30,30,6020,0.2
4,64,TRUE,baseline,sw,4,8,8,6020,0.2
4,64,TRUE,vs_right,sw,16,27,27,6020,0.2
4,64,TRUE,vs_left,sw,18,43,43,6020,0.2
4,64,TRUE,difference,sw,6,17,17,6020,0.2
4,64,FALSE,baseline,sw,6,16,16,6020,0.2
4,64,FALSE,vs_right,sw,46,45,45,6020,0.2
4,64,FALSE,vs_left,sw,43,48,48,6020,0.2
4,64,FALSE,difference,sw,14,29,29,6020,0.2
4,31,TRUE,baseline,sw,3,10,10,6020,0.2
4,31,TRUE,vs_right,sw,7,26,26,6020,0.2
4,31,TRUE,vs_left,sw,8,39,39,6020,0.2
4,31,TRUE,difference,sw,4,13,13,6020,0.2
4,31,FALSE,baseline,sw,5,15,15,6020,0.2
4,31,FALSE,vs_right,sw,25,35,35,6020,0.2
4,31,FALSE,vs_left,sw,26,46,46,6020,0.2
4,31,FALSE,difference,sw,8,21,21,6020,0.2
20,86,TRUE,baseline,sw,0,0,0,6020,0.2
20,86,TRUE,vs_right,sw,18,8,8,6020,0.2
20,86,TRUE,vs_left,sw,19,7,7,6020,0.2
20,86,TRUE,difference,sw,0,0,0,6020,0.2
20,86,FALSE,baseline,sw,2,1,1,6020,0.2
20,86,FALSE,vs_right,sw,24,6,6,6020,0.2
20,86,FALSE,vs_left,sw,26,7,7,6020,0.2
20,86,FALSE,difference,sw,0,0,0,6020,0.2
20,64,TRUE,baseline,sw,0,0,0,6020,0.2
20,64,TRUE,vs_right,sw,15,8,8,6020,0.2
20,64,TRUE,vs_left,sw,15,6,6,6020,0.2
20,64,TRUE,difference,sw,0,0,0,6020,0.2
20,64,FALSE,baseline,sw,1,1,1,6020,0.2
20,64,FALSE,vs_right,sw,21,6,6,6020,0.2
20,64,FALSE,vs_left,sw,19,4,4,6020,0.2
20,64,FALSE,difference,sw,0,0,0,6020,0.2
20,31,TRUE,baseline,sw,0,0,0,6020,0.2
20,31,TRUE,vs_right,sw,6,6,6,6020,0.2
20,31,TRUE,vs_left,sw,6,7,7,6020,0.2
20,31,TRUE,difference,sw,0,0,0,6020,0.2
20,31,FALSE,baseline,sw,0,0,0,6020,0.2
20,31,FALSE,vs_right,sw,12,7,7,6020,0.2
20,31,FALSE,vs_left,sw,9,5,5,6020,0.2
20,31,FALSE,difference,sw,0,0,0,6020,0.2
4,86,TRUE,baseline,sw,2,4,4,6030,0.1
4,86,TRUE,vs_right,sw,24,36,36,6030,0.1
4,86,TRUE,vs_left,sw,26,42,42,6030,0.1
4,86,TRUE,difference,sw,10,21,21,6030,0.1
4,86,FALSE,baseline,sw,4,10,10,6030,0.1
4,86,FALSE,vs_right,sw,72,42,42,6030,0.1
4,86,FALSE,vs_left,sw,68,53,53,6030,0.1
4,86,FALSE,difference,sw,14,27,27,6030,0.1
4,64,TRUE,baseline,sw,3,6,6,6030,0.1
4,64,TRUE,vs_right,sw,17,35,35,6030,0.1
4,64,TRUE,vs_left,sw,17,33,33,6030,0.1
4,64,TRUE,difference,sw,7,20,20,6030,0.1
4,64,FALSE,baseline,sw,2,5,5,6030,0.1
4,64,FALSE,vs_right,sw,55,40,40,6030,0.1
4,64,FALSE,vs_left,sw,48,48,48,6030,0.1
4,64,FALSE,difference,sw,12,26,26,6030,0.1
4,31,TRUE,baseline,sw,2,9,9,6030,0.1
4,31,TRUE,vs_right,sw,7,31,31,6030,0.1
4,31,TRUE,vs_left,sw,7,30,30,6030,0.1
4,31,TRUE,difference,sw,3,14,14,6030,0.1
4,31,FALSE,baseline,sw,4,9,9,6030,0.1
4,31,FALSE,vs_right,sw,26,39,39,6030,0.1
4,31,FALSE,vs_left,sw,24,32,32,6030,0.1
4,31,FALSE,difference,sw,10,22,22,6030,0.1
20,86,TRUE,baseline,sw,0,0,0,6030,0.1
20,86,TRUE,vs_right,sw,22,7,7,6030,0.1
20,86,TRUE,vs_left,sw,24,9,9,6030,0.1
20,86,TRUE,difference,sw,2,3,3,6030,0.1
20,86,FALSE,baseline,sw,0,0,0,6030,0.1
20,86,FALSE,vs_right,sw,52,8,8,6030,0.1
20,86,FALSE,vs_left,sw,43,8,8,6030,0.1
20,86,FALSE,difference,sw,1,1,1,6030,0.1
20,64,TRUE,baseline,sw,0,0,0,6030,0.1
20,64,TRUE,vs_right,sw,16,5,5,6030,0.1
20,64,TRUE,vs_left,sw,16,6,6,6030,0.1
20,64,TRUE,difference,sw,0,0,0,6030,0.1
20,64,FALSE,baseline,sw,0,0,0,6030,0.1
20,64,FALSE,vs_right,sw,43,6,6,6030,0.1
20,64,FALSE,vs_left,sw,32,7,7,6030,0.1
20,64,FALSE,difference,sw,1,1,1,6030,0.1
20,31,TRUE,baseline,sw,0,0,0,6030,0.1
20,31,TRUE,vs_right,sw,7,5,5,6030,0.1
20,31,TRUE,vs_left,sw,7,6,6,6030,0.1
20,31,TRUE,difference,sw,0,0,0,6030,0.1
20,31,FALSE,baseline,sw,0,0,0,6030,0.1
20,31,FALSE,vs_right,sw,22,7,7,6030,0.1
20,31,FALSE,vs_left,sw,13,6,6,6030,0.1
20,31,FALSE,difference,sw,1,1,1,6030,0.1
4,86,TRUE,baseline,sw,2,6,6,6030,0.2
4,86,TRUE,vs_right,sw,27,49,49,6030,0.2
4,86,TRUE,vs_left,sw,26,46,46,6030,0.2
4,86,TRUE,difference,sw,8,12,12,6030,0.2
4,86,FALSE,baseline,sw,4,9,9,6030,0.2
4,86,FALSE,vs_right,sw,81,52,52,6030,0.2
4,86,FALSE,vs_left,sw,79,51,51,6030,0.2
4,86,FALSE,difference,sw,11,19,19,6030,0.2
4,64,TRUE,baseline,sw,2,7,7,6030,0.2
4,64,TRUE,vs_right,sw,18,49,49,6030,0.2
4,64,TRUE,vs_left,sw,18,47,47,6030,0.2
4,64,TRUE,difference,sw,6,14,14,6030,0.2
4,64,FALSE,baseline,sw,6,13,13,6030,0.2
4,64,FALSE,vs_right,sw,61,46,46,6030,0.2
4,64,FALSE,vs_left,sw,59,55,55,6030,0.2
4,64,FALSE,difference,sw,7,14,14,6030,0.2
4,31,TRUE,baseline,sw,0,0,0,6030,0.2
4,31,TRUE,vs_right,sw,8,50,50,6030,0.2
4,31,TRUE,vs_left,sw,8,41,41,6030,0.2
4,31,TRUE,difference,sw,3,13,13,6030,0.2
4,31,FALSE,baseline,sw,4,12,12,6030,0.2
4,31,FALSE,vs_right,sw,30,49,49,6030,0.2
4,31,FALSE,vs_left,sw,28,46,46,6030,0.2
4,31,FALSE,difference,sw,6,18,18,6030,0.2
20,86,TRUE,baseline,sw,0,0,0,6030,0.2
20,86,TRUE,vs_right,sw,25,12,12,6030,0.2
20,86,TRUE,vs_left,sw,25,8,8,6030,0.2
20,86,TRUE,difference,sw,1,2,2,6030,0.2
20,86,FALSE,baseline,sw,0,0,0,6030,0.2
20,86,FALSE,vs_right,sw,72,10,10,6030,0.2
20,86,FALSE,vs_left,sw,72,9,9,6030,0.2
20,86,FALSE,difference,sw,2,3,3,6030,0.2
20,64,TRUE,baseline,sw,0,0,0,6030,0.2
20,64,TRUE,vs_right,sw,17,11,11,6030,0.2
20,64,TRUE,vs_left,sw,17,8,8,6030,0.2
20,64,TRUE,difference,sw,2,3,3,6030,0.2
20,64,FALSE,baseline,sw,1,1,1,6030,0.2
20,64,FALSE,vs_right,sw,55,10,10,6030,0.2
20,64,FALSE,vs_left,sw,54,9,9,6030,0.2
20,64,FALSE,difference,sw,2,3,3,6030,0.2
20,31,TRUE,baseline,sw,0,0,0,6030,0.2
20,31,TRUE,vs_right,sw,7,10,10,6030,0.2
20,31,TRUE,vs_left,sw,7,8,8,6030,0.2
20,31,TRUE,difference,sw,1,2,2,6030,0.2
20,31,FALSE,baseline,sw,1,1,1,6030,0.2
20,31,FALSE,vs_right,sw,26,12,12,6030,0.2
20,31,FALSE,vs_left,sw,26,10,10,6030,0.2
20,31,FALSE,difference,sw,2,3,3,6030,0.2
4,86,TRUE,baseline,sw,2,4,4,8020,0.1
4,86,TRUE,vs_right,sw,20,37,37,8020,0.1
4,86,TRUE,vs_left,sw,24,34,34,8020,0.1
4,86,TRUE,difference,sw,2,8,8,8020,0.1
4,86,FALSE,baseline,sw,6,21,21,8020,0.1
4,86,FALSE,vs_right,sw,28,42,42,8020,0.1
4,86,FALSE,vs_left,sw,38,45,45,8020,0.1
4,86,FALSE,difference,sw,7,20,20,8020,0.1
